Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,0.1uF,
"C2, C3",0603,2,2.2uF,
CN1,USB-C_PCBPLUG,1,CON_USB-CPCBPLUG,
IC1,SOT-23-5,1,XC6220B331MR,
IC2,XCVR_ESP32-C3-MINI-1-N4,1,ESP32-C3-MINI-1-H4,
"J1, J2",if-8080-10pin-mount-HAT,2,pin_0205_CCW,
"J3, J4",1×04_pinhead_smd,2,Conn_01x04_Male,
"LED1, LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED17, LED18, LED19, LED2, LED20, LED21, LED22, LED23, LED24, LED3, LED4, LED5, LED6, LED7, LED8, LED9",HD107S-2020,24,HD107S-2020,
"LED25, LED26, LED27, LED28, LED29, LED30, LED31, LED32",IN-S63AS5UW,8,IN-S63AS,
PL1,1206,1,SMD1206B025TF,
Q1,SOT-23-3,1,PDTC114ET215,
"R1, R14",0603,2,10k,
"R10, R11, R12, R13, R2, R3, R6, R7, R8, R9",0603,10,5.1k,
"R15, R16",0603,2,0,
"R4, R5",0603,2,22,
"TP1, TP2, TP3",TestPoint_Pad_D1.5mm,3,TestPoint,
