Designator,Mid X,Mid Y,Rotation,Layer
C1,68.5,22.6,180.0,top
C2,68.5,24.25,180.0,top
C3,75.8,25.9,90.0,top
CN1,84.1,41.85,0.0,top
IC1,72.3,23.8,180.0,top
IC2,72.0,10.5,180.0,top
J1,72.0,43.5,0.0,top
J2,72.0,34.5,0.0,top
J3,3.0,16.5,180.0,bottom
J4,83.0,16.44,180.0,bottom
LED1,82.5,50.507107,0.0,top
LED10,51.59673,50.507107,0.0,top
LED11,48.163035,50.507107,0.0,top
LED12,44.72934,50.507107,0.0,top
LED13,41.295645,50.507107,0.0,top
LED14,37.86195,50.507107,0.0,top
LED15,34.428255,50.507107,0.0,top
LED16,30.99456,50.507107,0.0,top
LED17,27.560865,50.507107,0.0,top
LED18,24.12717,50.507107,0.0,top
LED19,20.693475,50.507107,0.0,top
LED2,79.06629,50.507107,0.0,top
LED20,17.25978,50.507107,0.0,top
LED21,13.826085,50.507107,0.0,top
LED22,10.39239,50.507107,0.0,top
LED23,6.958695,50.507107,0.0,top
LED24,3.525,50.507107,0.0,top
LED25,55.866662,2.8,0.0,top
LED26,48.399996,2.8,0.0,top
LED27,40.93333,2.8,0.0,top
LED28,33.466664,2.8,0.0,top
LED29,25.999998,2.8,0.0,top
LED3,75.632595,50.507107,0.0,top
LED30,18.533332,2.8,0.0,top
LED31,11.066666,2.8,0.0,top
LED32,3.6,2.8,0.0,top
LED4,72.1989,50.507107,0.0,top
LED5,68.765205,50.507107,0.0,top
LED6,65.33151,50.507107,0.0,top
LED7,61.897815,50.507107,0.0,top
LED8,58.46412,50.507107,0.0,top
LED9,55.030425,50.507107,0.0,top
PL1,77.9,26.7,270.0,top
Q1,67.75,27.25,180.0,top
R1,77.5,21.5,180.0,top
R10,29.733331,2.8,180.0,top
R11,22.266665,2.8,180.0,top
R12,14.799999,2.8,180.0,top
R13,7.333333,2.8,180.0,top
R14,77.5,23.25,180.0,top
R15,83.0,20.5,90.0,top
R16,7.333333,1.2,0.0,top
R2,72.8,26.5,180.0,top
R3,72.8,28.2,180.0,top
R4,62.3,19.0,270.0,top
R5,63.8,20.5,270.0,top
R6,59.6,2.8,180.0,top
R7,52.133329,2.8,180.0,top
R8,44.666663,2.8,180.0,top
R9,37.199997,2.8,180.0,top
